,q_flow_station_wait_time_var,q_flow_station_queue_length_var,q_flow_station_busy_var,secretary_station_wait_time_var,secretary_station_queue_length_var,secretary_station_busy_var,general_nurse_station_wait_time_var,general_nurse_station_queue_length_var,general_nurse_station_busy_var,transplant_nurse_station_wait_time_var,transplant_nurse_station_queue_length_var,transplant_nurse_station_busy_var,leukemia_doctor_1_wait_time_var,leukemia_doctor_1_queue_length_var,leukemia_doctor_1_busy_var,leukemia_doctor_2_wait_time_var,leukemia_doctor_2_queue_length_var,leukemia_doctor_2_busy_var,transplant_doctor_1_wait_time_var,transplant_doctor_1_queue_length_var,transplant_doctor_1_busy_var,transplant_doctor_2_wait_time_var,transplant_doctor_2_queue_length_var,transplant_doctor_2_busy_var,transplant_doctor_3_wait_time_var,transplant_doctor_3_queue_length_var,transplant_doctor_3_busy_var,other_patients_total_processing_time_var,leukemia_doctor_1_complex_patients_total_processing_time_var,leukemia_doctor_1_regular_patients_total_processing_time_var,leukemia_doctor_2_complex_patients_total_processing_time_var,leukemia_doctor_2_regular_patients_total_processing_time_var,transplant_doctor_1_complex_patients_total_processing_time_var,transplant_doctor_1_regular_patients_total_processing_time_var,transplant_doctor_2_complex_patients_total_processing_time_var,transplant_doctor_2_regular_patients_total_processing_time_var,transplant_doctor_3_complex_patients_total_processing_time_var,transplant_doctor_3_regular_patients_total_processing_time_var,leukemia_doctor_1_scheduled_vs_actual_time_diff_var,leukemia_doctor_2_scheduled_vs_actual_time_diff_var,transplant_doctor_1_scheduled_vs_actual_time_diff_var,transplant_doctor_2_scheduled_vs_actual_time_diff_var,transplant_doctor_3_scheduled_vs_actual_time_diff_var,general_nurse_station_scheduled_vs_actual_time_diff_var,transplant_nurse_station_scheduled_vs_actual_time_diff_var
91,0.19817912441363997,7.062483126483228,12.415568842258136,0.7039437324531641,45.16247582363665,83.25610092168496,8.52338135191646,246.71884944724644,1262.6394828247767,119.01426963339331,31.34510701653624,45.8185560471416,2991.4559154599788,2712.4944637382887,48.78012511951693,2652.6433449296055,1596.397828555654,37.85511191550088,1138.4120347012342,3045.6317879351504,49.63897411938862,4402.420845753049,6297.443066580976,62.24315556818647,1190.8069967172858,6302.438571728082,62.66621202546703,5417.902975646597,10451.200967975368,2489.890031769702,0.0,2691.957900244642,0.0,2160.0898523746837,777.5410278300843,2496.7639026579914,55.76944682875183,4466.558508379824,4168.048647571837,3867.5460161103456,2253.8651595350707,2267.403559636635,11378.721803871202,1181.8686987735375,165.13583095101677
92,0.29539038762076625,7.026761182595248,12.422636725956382,6.881770836336716,45.12219116825762,83.20846281999621,4.433261370576979,244.57314291844716,1318.6789210441789,0.0,31.05771046638578,48.8084074626298,1969.7772377656825,2709.622722948955,48.86875506223569,727.1326860982664,1594.7442380454277,37.73459916196152,924.5486755241087,3041.5061902795287,49.63238734697938,2545.9593087106628,6316.615659518765,62.35275019464945,7559.587290808235,6276.927950576865,62.503531095400064,1257.5645421279942,2571.5817919576884,1386.966740782085,0.0,1188.7559312197716,0.0,2301.316594793981,22085.76164949343,3960.496152756835,514.7614599509687,8606.198402259839,2357.5805682972114,1199.4470988870132,2463.5002162892197,10084.499656280437,7818.924100843447,190.02196211807697,95.46257988245694
93,1.416186374368819,7.10379518607447,12.481271516987933,3.9338822061127945,45.113382911064704,83.51846802289116,4.591584172637319,243.34400520965858,1324.1219442610818,356.8838187560355,31.140291877598468,49.34573225832071,1521.9887816424134,2711.4725672428867,49.01332287512642,3736.1908985213413,1602.886352810828,37.742954640271094,2953.4950980177136,3051.3619361459437,49.78539450396644,1502.1143710806698,6336.37165127316,62.745346431753134,4725.361233494498,6321.104779063588,62.8742557213374,5474.036841241115,3802.5270090162517,1494.8317305809594,841.7654319865298,6553.795977933784,38.13943483489857,3629.839077495655,101.09161172153836,5522.241940301484,0.0,4657.945298905418,2312.975505844672,4556.414140308504,4082.1508528936915,4943.866619787827,4788.7226986678,220.73461917861852,716.7363706039363
94,1.0718147580750068,6.074755009074806,10.660840138904609,7.525797785527896,38.502273358082185,71.42346093009631,13.374841341194115,205.96520762045478,1340.7567387225781,109.46043765699969,26.360596576731076,48.39803453829661,2233.2870254383906,2305.3133133037445,41.72998715033528,2929.6619986333194,1381.1644525967915,32.51791440365198,8363.118273876275,2616.1806287821814,42.496093119561,1859.2153814839396,5397.19343521078,53.593866295791905,7250.948091275764,5459.354342562075,53.72230669966467,6769.246430157772,2827.139751748691,3839.7157705368804,970.9970079368019,1686.2923153459967,0.0,7764.951109437682,5636.166830793791,1741.021607120946,3659.0936171794892,7728.551215932538,3005.7154339683493,2801.777953151239,8214.888156662866,2505.7599506928273,7787.4623709590705,183.17161582537182,118.62772792662345
95,0.6209440174607123,7.7752294701744855,13.678495785274318,6.433883423889412,49.3565737446528,91.73887466618245,4.812889001910422,261.8446971860298,1213.9894866266575,85.54796680915085,33.575758881851634,45.804317110871985,1235.0919623885504,2959.2564083302996,53.51210772907611,583.6376876378489,1762.5228420205742,41.57574728790198,1132.975180445039,3371.1149455109426,54.70772374847106,1845.2481287382004,6902.275885138279,68.65792269574904,2225.675889952607,7107.04411193328,69.26891919587715,3175.2105169622864,7072.365216571627,3363.4675955735443,558.0191036478355,717.5018285919621,0.0,2435.3126651401794,3226.7327326876525,5591.436748357122,1989.0637194012381,2642.6318419203662,4276.502131926808,735.1840154510282,2297.192144114649,5045.289385242633,2576.6835382911822,489.9288277483197,157.97933498658148
96,0.2833110545721888,6.577039342801233,11.630100642460983,3.9009170391342365,41.76026803737514,78.1092162880194,10.46433819819003,220.80359966999117,1455.867867991625,82.91049732913953,28.39610529362456,37.83326164197036,1427.8070920394778,2510.0092287675025,45.43433461735196,1443.7613952046436,1493.4769929164904,35.19719504777864,2535.325060444226,2855.610379128465,46.46482629565395,6261.839448949946,5847.101839062467,58.211570515002656,3692.777567673046,6030.272561246663,58.809096616140266,4071.482304195678,833.2661831639149,2102.0274329106146,0.0,1871.517127428265,2644.501767916993,4555.807750760088,20927.59603274,4782.244694301563,1698.157587854723,5350.41024901435,1581.8871681510584,1495.4388339182003,4485.641645054983,5204.540827319404,4635.982753753095,160.80043310241737,7332.9937779749
97,0.34037068881359145,5.157829474117287,9.154906950487575,2.552115147459162,32.70332726152037,61.556698956653584,12.517033870082903,172.5881899385185,1251.031372659498,102.01805494950422,22.204791310943452,44.232371189975474,9006.334573812012,1976.101355450591,35.73250150286938,1168.3880232452632,1169.6861270654847,27.688788093466922,1276.3607201000204,2248.4050852089795,36.673921940165506,4516.614799322241,4648.590051186454,46.08008824356541,6494.880792132451,4753.354917582673,46.385301950218455,4575.337695630536,18820.77057007959,27707.311707012497,20473.906669355238,43684.02300835527,0.0,7570.802679304445,546.6960618038545,14896.5166582026,14007.930412362515,9520.470228424781,13119.338845841816,30836.72330755662,6095.457352797922,6758.389298946688,9184.004821743365,1481.926849611755,67.69050486455919
98,0.6211711350115354,6.250285893949079,11.097668435936397,13.18619594420067,40.017114768788886,74.58721250128013,3.72077762289808,207.34582224837632,1451.2849696428505,124.73947263103994,26.717377882886538,44.0406425172821,3149.2542254565737,2403.697359690998,43.6188042926577,3369.6843901859183,1422.0346164880261,33.5970026436922,2003.228465046464,2720.268822748344,44.41482147130648,3740.11948832423,5649.743665247422,55.9208983541714,3074.457143065012,5787.727942348966,56.51241692190154,5309.276029981358,2293.7850579963956,6250.393060699724,4490.014412338213,2628.061986036637,0.0,8524.024962029453,930.3385770233582,7776.190970330274,730.4845816637317,3224.2765982704764,7320.207223475975,4929.578297466481,8658.079205479724,7781.5091782448435,3483.6257469299876,166.8425721883499,131.91438888592378
99,0.5729062355337599,8.29960178824004,14.767351835059284,5.190898686983104,53.02479314863559,99.11757550761484,17.741244493226297,273.4970039966834,1253.3256715044643,611.5253632143557,35.62079130901051,44.7601700052686,1176.8577091743489,3182.8313484647897,57.76650518195995,1356.6101444058224,1896.5443731580149,44.78402272543567,1320.5871732726039,3616.816815058675,58.99687684970204,1439.916037668687,7486.811268175129,74.26676442999289,2425.714885652154,7668.8220995591455,75.00063994804583,2743.7475778676926,1492.504872774109,3169.0453003990183,339.5985552554702,1589.3488840145812,0.0,2121.179705345072,3737.5235178615226,3087.342317937885,0.0,8157.582055843486,2851.3372056113035,1180.1071153961127,1685.0847539569977,3323.477545638715,8152.009585888914,160.37766477786525,466.9508677549631
